City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Boueni,YT,-12.9025,45.0761,76.98,69,6,6.22,clear sky
189,Klaksvik,FO,62.2266,-6.589,45.52,91,100,33.33,moderate rain
190,Padang,ID,-0.9492,100.3543,76.95,86,86,2.42,moderate rain
191,Luderitz,NA,-26.6481,15.1594,69.58,53,99,26.31,overcast clouds
192,Clyde River,CA,70.4692,-68.5914,28.63,74,75,6.91,broken clouds
193,Proletariy,RU,58.4342,31.7046,43.88,88,100,6.58,overcast clouds
194,Mehamn,NO,71.0357,27.8492,35.55,93,0,3.44,clear sky
195,Calbuco,CL,-41.768,-73.1273,52.81,81,85,7.16,overcast clouds
196,Kokopo,PG,-4.352,152.2633,77.0,82,98,2.06,overcast clouds
197,Verkhnevilyuysk,RU,63.4453,120.3167,25.02,95,97,5.82,overcast clouds
198,Cidreira,BR,-30.1811,-50.2056,63.0,70,100,15.23,overcast clouds
199,Talnakh,RU,69.4865,88.3972,33.21,99,100,9.4,snow
200,Longyearbyen,SJ,78.2186,15.6401,24.64,68,75,10.36,broken clouds
201,Saint George,US,37.1041,-113.5841,61.39,27,0,8.05,clear sky
202,Opuwo,NA,-18.0607,13.84,93.76,14,88,9.71,overcast clouds
203,Laem Sing,TH,12.4816,102.0738,76.05,100,100,9.82,overcast clouds
204,Nhulunbuy,AU,-12.2333,136.7667,77.61,88,99,0.0,overcast clouds
205,Ylivieska,FI,64.0833,24.55,49.32,93,100,5.73,overcast clouds
206,Andijon,UZ,40.7821,72.3442,60.08,15,100,4.0,overcast clouds
207,Lavrentiya,RU,65.5833,-171.0,24.89,75,22,4.05,few clouds
208,Lumeje,AO,-11.55,20.7833,91.42,12,25,4.97,scattered clouds
209,Mocuba,MZ,-16.8392,36.9856,83.84,42,1,10.58,clear sky
210,Requena,ES,39.4883,-1.1004,79.79,29,8,8.86,clear sky
211,Saquena,PE,-4.6667,-73.5167,81.27,91,92,2.93,overcast clouds
212,Lafia,NG,8.4833,8.5167,83.93,78,56,4.79,broken clouds
213,Bilibino,RU,68.0546,166.4372,-11.85,97,16,2.73,few clouds
214,Kaili,ID,-3.4626,120.2147,66.69,87,96,3.24,overcast clouds
215,Dogondoutchi,NE,13.6393,4.0287,98.62,22,39,3.94,scattered clouds
216,Bataipora,BR,-22.2953,-53.2711,79.65,67,76,3.51,light rain
217,Mangaldai,IN,26.4333,92.0333,75.74,89,2,1.68,clear sky
218,Beringovskiy,RU,63.05,179.3167,28.54,69,97,1.59,overcast clouds
219,Ternate,ID,0.8,127.4,82.72,78,96,7.09,overcast clouds
220,Tooele,US,40.5308,-112.2983,58.19,33,0,9.22,clear sky
221,Jumla,NP,29.2747,82.1838,48.87,86,11,3.42,few clouds
222,Gouyave,GD,12.1646,-61.7296,86.77,70,20,20.71,few clouds
223,Takoradi,GH,4.8845,-1.7554,79.59,81,100,12.64,light rain
224,Hovd,MN,48.0056,91.6419,31.48,47,7,0.81,clear sky
225,Sola,VU,-13.8833,167.55,79.3,76,91,11.74,overcast clouds
226,Dzaoudzi,YT,-12.7887,45.2699,76.89,73,0,9.22,clear sky
227,Aksu,CN,41.1231,80.2644,58.6,24,3,1.74,clear sky
228,Dengzhou,CN,37.8086,120.7508,60.08,72,92,3.53,overcast clouds
229,San Quintin,MX,30.4833,-115.95,66.38,75,100,6.08,overcast clouds
230,Hailar,CN,49.2,119.7,36.21,45,0,14.97,clear sky
231,Batagay-Alyta,RU,67.8006,130.4114,6.93,92,58,4.59,broken clouds
232,Ahipara,NZ,-35.1667,173.1667,52.5,85,34,8.86,scattered clouds
233,Severo-Kurilsk,RU,50.6789,156.125,46.89,80,73,10.2,broken clouds
234,Port Elizabeth,ZA,-33.918,25.5701,68.09,97,100,5.75,overcast clouds
235,Corlu,TR,41.1592,27.8,60.78,82,75,13.8,broken clouds
236,Prince Rupert,CA,54.3161,-130.3201,55.49,94,100,14.97,overcast clouds
237,Vizinga,RU,61.0749,50.1031,41.94,83,100,5.21,overcast clouds
238,Pisco,PE,-13.7,-76.2167,64.02,77,0,10.36,clear sky
239,Svetlaya,RU,46.5389,138.3297,51.03,76,100,3.44,light rain
240,Mar Del Plata,AR,-38.0023,-57.5575,54.95,57,0,10.36,clear sky
241,Ponta Do Sol,PT,32.6667,-17.1,75.83,61,46,2.84,scattered clouds
242,Porto Uniao,BR,-26.2381,-51.0783,66.4,80,100,3.71,light rain
