City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,Sabha,LY,88.9,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
267,Dicabisagan,PH,78.17,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
268,Ridgecrest,US,75.65,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
272,Garowe,SO,85.01,broken clouds,8.4054,48.4845,Curubo Hotel
278,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
279,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
289,Kavaratti,IN,82.49,broken clouds,10.5669,72.642,Green leaf
296,Wukari,NG,82.58,light rain,7.85,9.7833,Elimtop
299,Angoche,MZ,76.91,clear sky,-16.2325,39.9086,Guest House HESADA
302,Acapulco,MX,82.18,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
317,Maracai,BR,76.37,overcast clouds,-22.6106,-50.6672,Hotel Maracai Pousada
318,Monywa,MM,81.54,few clouds,22.1167,95.1333,Monywa Hotel
320,San Patricio,US,84.9,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
322,Hobyo,SO,78.12,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
328,Morondava,MG,77.74,scattered clouds,-20.2833,44.2833,La Case Bambou
329,Vaitape,PF,78.4,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
330,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
331,Oistins,BB,87.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
332,Xochistlahuaca,MX,83.73,scattered clouds,16.7833,-98.25,La frontera
335,Puerto Escondido,MX,84.65,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
349,Daru,PG,79.66,broken clouds,-9.0763,143.2092,Daru Lodge
351,Tual,ID,82.71,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
353,Samarai,PG,81.01,broken clouds,-10.6167,150.6667,Nuli Sapi
354,Buraydah,SA,88.25,clear sky,26.326,43.975,Mövenpick Qassim
355,Dingle,PH,76.32,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
357,Canazas,PA,84.4,moderate rain,8.3167,-81.2167,HACIENDA LOS DIAZ
358,Kimberley,ZA,89.29,clear sky,-28.7323,24.7623,Welgewandel Guesthouse
