City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,San Isidro,-12.1167,-77.05,58.59,77,100,6.91,PE,2022-10-14 04:30:20
327,Gharghoda,22.1667,83.35,83.7,65,6,6.62,IN,2022-10-14 04:30:21
328,Cruzeiro Do Sul,-29.5128,-51.9853,62.53,81,100,7.43,BR,2022-10-14 04:28:13
329,Correntina,-13.3433,-44.6367,69.31,47,6,4.88,BR,2022-10-14 04:30:21
330,Broome,42.2506,-75.833,52.7,84,100,11.5,US,2022-10-14 04:30:22
331,Jiuquan,39.7432,98.5174,58.95,18,49,4.29,CN,2022-10-14 04:30:22
332,Leeton,-34.5667,146.4,65.89,55,65,14.76,AU,2022-10-14 04:30:23
333,Saldanha,-33.0117,17.9442,48.25,91,99,8.86,ZA,2022-10-14 04:30:23
334,Saint-Georges,12.0564,-61.7485,80.28,83,40,8.05,GD,2022-10-14 04:30:23
335,Gravdal,68.1214,13.5031,39.09,100,40,1.14,NO,2022-10-14 04:30:24
336,Port Lincoln,-34.7333,135.8667,59.88,61,88,16.22,AU,2022-10-14 04:30:24
337,Mehamn,71.0357,27.8492,39.11,100,75,4.61,NO,2022-10-14 04:30:25
338,Karratha,-20.7377,116.8463,84.56,20,13,13.38,AU,2022-10-14 04:30:25
339,Campbellsville,37.3434,-85.3419,46.51,64,7,5.1,US,2022-10-14 04:30:26
340,Sungurlu,40.1675,34.3739,50.74,79,78,3.89,TR,2022-10-14 04:30:26
341,Brae,60.3964,-1.353,49.33,79,88,27.87,GB,2022-10-14 04:30:26
